(venv) shiywang@shiywang-Precision-3630-Tower:~/grandma_su/Test/Server_Test$ python test1.py -n 200
Number of cpu : 8
[D] Main: Test 1
[I] SP: No saved data, Creating new data
app_main.js:103 Data received
app_main.js:106 {device_id: '4B20A10B5583', sequence_id: 1, time: 1639096827991, value: 108, battery: 60, …} 2984
app_main.js:93 New device ping received. {device_id: '7AD52B4A886B', battery: 60, time: 1639096830, name: 'Christopher Dibbles', room_no: 169, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '7AD52B4A886B', sequence_id: 1, time: 1639096827991, value: 105, battery: 60, …} 3124
app_main.js:93 New device ping received. {device_id: 'DB891AE6600C', battery: 60, time: 1639096831, name: 'Michael Falcone', room_no: 2, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'DB891AE6600C', sequence_id: 1, time: 1639096827991, value: 113, battery: 60, …} 3269
app_main.js:93 New device ping received. {device_id: '089CCD2EBD28', battery: 60, time: 1639096831, name: 'Manuel Davis', room_no: 16, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '089CCD2EBD28', sequence_id: 1, time: 1639096827991, value: 67, battery: 60, …} 3435
app_main.js:93 New device ping received. {device_id: 'F1539B1F2115', battery: 60, time: 1639096831, name: 'Ashley Hurse', room_no: 48, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'F1539B1F2115', sequence_id: 1, time: 1639096827991, value: 106, battery: 60, …} 3635
app_main.js:93 New device ping received. {device_id: '538C5860415C', battery: 60, time: 1639096831, name: 'Carey Weston', room_no: 86, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '538C5860415C', sequence_id: 1, time: 1639096827991, value: 116, battery: 60, …} 3776
app_main.js:93 New device ping received. {device_id: '28AD0296A4C9', battery: 60, time: 1639096831, name: 'Mary Hoag', room_no: 95, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '28AD0296A4C9', sequence_id: 1, time: 1639096827991, value: 107, battery: 60, …} 3955
app_main.js:93 New device ping received. {device_id: 'A57D47497B56', battery: 60, time: 1639096831, name: 'Gary Cantell', room_no: 135, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'A57D47497B56', sequence_id: 1, time: 1639096827991, value: 113, battery: 60, …} 4161
app_main.js:93 New device ping received. {device_id: '7DA53A768DC6', battery: 60, time: 1639096832, name: 'Edward Baker', room_no: 83, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '7DA53A768DC6', sequence_id: 1, time: 1639096827991, value: 117, battery: 60, …} 4308
app_main.js:93 New device ping received. {device_id: 'BBC03A4C8CFE', battery: 60, time: 1639096832, name: 'Eric Gagnon', room_no: 151, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'BBC03A4C8CFE', sequence_id: 1, time: 1639096827991, value: 83, battery: 60, …} 4462
app_main.js:93 New device ping received. {device_id: '50F19959ABE7', battery: 60, time: 1639096832, name: 'Jennifer Frazier', room_no: 128, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '50F19959ABE7', sequence_id: 1, time: 1639096827991, value: 106, battery: 60, …} 4688
app_main.js:93 New device ping received. {device_id: 'ADBFE1960462', battery: 60, time: 1639096832, name: 'Nicole Linn', room_no: 8, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'ADBFE1960462', sequence_id: 1, time: 1639096827991, value: 109, battery: 60, …} 4849
app_main.js:93 New device ping received. {device_id: 'FE0870578731', battery: 60, time: 1639096832, name: 'Phillip Doyle', room_no: 117, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'FE0870578731', sequence_id: 1, time: 1639096827991, value: 80, battery: 60, …} 5027
app_main.js:93 New device ping received. {device_id: '1BEC9F173765', battery: 60, time: 1639096832, name: 'Natasha Deyoung', room_no: 37, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '1BEC9F173765', sequence_id: 1, time: 1639096827991, value: 69, battery: 60, …} 5288
app_main.js:93 New device ping received. {device_id: '066A31D1D57C', battery: 60, time: 1639096833, name: 'Victor Rodriguez', room_no: 65, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '066A31D1D57C', sequence_id: 1, time: 1639096827991, value: 71, battery: 60, …} 5463
app_main.js:93 New device ping received. {device_id: 'A4DCB8CD965C', battery: 60, time: 1639096833, name: 'Richard Collins', room_no: 172, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'A4DCB8CD965C', sequence_id: 1, time: 1639096827991, value: 119, battery: 60, …} 5649
app_main.js:93 New device ping received. {device_id: 'E777ACD0DEA5', battery: 60, time: 1639096833, name: 'Crystal Taylor', room_no: 144, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'E777ACD0DEA5', sequence_id: 1, time: 1639096827991, value: 112, battery: 60, …} 5922
app_main.js:93 New device ping received. {device_id: '03D4634A8005', battery: 60, time: 1639096833, name: 'David Miller', room_no: 112, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '03D4634A8005', sequence_id: 1, time: 1639096827991, value: 115, battery: 60, …} 6114
app_main.js:93 New device ping received. {device_id: '59F5144D824D', battery: 60, time: 1639096833, name: 'Jessica Koch', room_no: 144, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '59F5144D824D', sequence_id: 1, time: 1639096827991, value: 108, battery: 60, …} 6314
app_main.js:93 New device ping received. {device_id: '9649259AE759', battery: 60, time: 1639096833, name: 'Henry Neville', room_no: 41, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '9649259AE759', sequence_id: 1, time: 1639096827991, value: 94, battery: 60, …} 6518
app_main.js:93 New device ping received. {device_id: 'FBC1C836028C', battery: 60, time: 1639096833, name: 'Cecelia Alexander', room_no: 56, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'FBC1C836028C', sequence_id: 1, time: 1639096827991, value: 89, battery: 60, …} 6868
app_main.js:93 New device ping received. {device_id: 'F17D3B7D5302', battery: 60, time: 1639096834, name: 'Joe Slayman', room_no: 113, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'F17D3B7D5302', sequence_id: 1, time: 1639096827991, value: 81, battery: 60, …} 7079
app_main.js:93 New device ping received. {device_id: '15319CFE4AC6', battery: 60, time: 1639096834, name: 'Jane Bernhardt', room_no: 100, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '15319CFE4AC6', sequence_id: 1, time: 1639096827991, value: 108, battery: 60, …} 7298
app_main.js:93 New device ping received. {device_id: '31950A631F07', battery: 60, time: 1639096834, name: 'Rae Graham', room_no: 24, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '31950A631F07', sequence_id: 1, time: 1639096827991, value: 63, battery: 60, …} 7525
app_main.js:93 New device ping received. {device_id: '6223D5B97D09', battery: 60, time: 1639096834, name: 'Lora Lawhorn', room_no: 6, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '6223D5B97D09', sequence_id: 1, time: 1639096827991, value: 94, battery: 60, …} 7752
app_main.js:93 New device ping received. {device_id: 'F1A98662484A', battery: 60, time: 1639096834, name: 'Minnie Backhaus', room_no: 68, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'F1A98662484A', sequence_id: 1, time: 1639096827991, value: 91, battery: 60, …} 8094
app_main.js:93 New device ping received. {device_id: '015F2429E3DC', battery: 60, time: 1639096834, name: 'Anthony Trask', room_no: 78, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '015F2429E3DC', sequence_id: 1, time: 1639096827991, value: 79, battery: 60, …} 8334
app_main.js:93 New device ping received. {device_id: 'E00B71959789', battery: 60, time: 1639096835, name: 'Hazel Richert', room_no: 70, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'E00B71959789', sequence_id: 1, time: 1639096827991, value: 107, battery: 60, …} 8589
app_main.js:93 New device ping received. {device_id: 'DEA238AF0A7C', battery: 60, time: 1639096835, name: 'Michelle Beesley', room_no: 16, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'DEA238AF0A7C', sequence_id: 1, time: 1639096827991, value: 114, battery: 60, …} 8835
app_main.js:93 New device ping received. {device_id: 'DEAE119A5029', battery: 60, time: 1639096835, name: 'Irene Koehn', room_no: 166, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'DEAE119A5029', sequence_id: 1, time: 1639096827991, value: 119, battery: 60, …} 9086
app_main.js:93 New device ping received. {device_id: '6C32A3AAC9DB', battery: 60, time: 1639096835, name: 'Marguerite Cameron', room_no: 30, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '6C32A3AAC9DB', sequence_id: 1, time: 1639096827991, value: 61, battery: 60, …} 9347
app_main.js:93 New device ping received. {device_id: '1F62B6743986', battery: 60, time: 1639096835, name: 'Ronnie Howard', room_no: 117, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '1F62B6743986', sequence_id: 1, time: 1639096827991, value: 76, battery: 60, …} 9670
app_main.js:93 New device ping received. {device_id: '3EBB651D8862', battery: 60, time: 1639096835, name: 'Diana Monge', room_no: 168, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '3EBB651D8862', sequence_id: 1, time: 1639096827991, value: 112, battery: 60, …} 9756
app_main.js:93 New device ping received. {device_id: 'E239B852F0B1', battery: 60, time: 1639096836, name: 'Amber Whitehurst', room_no: 39, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'E239B852F0B1', sequence_id: 1, time: 1639096827991, value: 104, battery: 60, …} 9847
app_main.js:93 New device ping received. {device_id: 'E78F158A87C9', battery: 60, time: 1639096836, name: 'Jorge Mendez', room_no: 83, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'E78F158A87C9', sequence_id: 1, time: 1639096827991, value: 74, battery: 60, …} 9979
app_main.js:93 New device ping received. {device_id: 'DBB93E2E7B85', battery: 60, time: 1639096836, name: 'David Terry', room_no: 38, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'DBB93E2E7B85', sequence_id: 1, time: 1639096827991, value: 77, battery: 60, …} 10072
app_main.js:93 New device ping received. {device_id: 'CB89F87C2AD6', battery: 60, time: 1639096836, name: 'Joseph Lopez', room_no: 82, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'CB89F87C2AD6', sequence_id: 1, time: 1639096827991, value: 99, battery: 60, …} 10164
app_main.js:93 New device ping received. {device_id: '62628DB4D7D2', battery: 60, time: 1639096836, name: 'Courtney Stiles', room_no: 101, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '62628DB4D7D2', sequence_id: 1, time: 1639096827991, value: 90, battery: 60, …} 10272
app_main.js:93 New device ping received. {device_id: '87B0E491CF6F', battery: 60, time: 1639096837, name: 'Robert Parker', room_no: 185, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '87B0E491CF6F', sequence_id: 1, time: 1639096827991, value: 68, battery: 60, …} 10371
app_main.js:93 New device ping received. {device_id: '199D9F947927', battery: 60, time: 1639096837, name: 'Judith Mckinney', room_no: 136, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '199D9F947927', sequence_id: 1, time: 1639096827991, value: 118, battery: 60, …} 10469
app_main.js:93 New device ping received. {device_id: '8EC63F8F5299', battery: 60, time: 1639096837, name: 'Shane Major', room_no: 187, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '8EC63F8F5299', sequence_id: 1, time: 1639096827991, value: 62, battery: 60, …} 10566
app_main.js:93 New device ping received. {device_id: 'E8A2B72EF809', battery: 60, time: 1639096837, name: 'Thomas Haskell', room_no: 25, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'E8A2B72EF809', sequence_id: 1, time: 1639096827991, value: 116, battery: 60, …} 10687
app_main.js:93 New device ping received. {device_id: '7FB8BE78EEED', battery: 60, time: 1639096837, name: 'Theresa Hood', room_no: 90, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '7FB8BE78EEED', sequence_id: 1, time: 1639096827991, value: 120, battery: 60, …} 10799
app_main.js:93 New device ping received. {device_id: 'FBC21B424DE9', battery: 60, time: 1639096837, name: 'Paul Jefferies', room_no: 132, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'FBC21B424DE9', sequence_id: 1, time: 1639096827991, value: 106, battery: 60, …} 10914
app_main.js:93 New device ping received. {device_id: '39869E8A0DB1', battery: 60, time: 1639096837, name: 'Alvin Ennis', room_no: 95, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '39869E8A0DB1', sequence_id: 1, time: 1639096827991, value: 76, battery: 60, …} 11024
app_main.js:93 New device ping received. {device_id: '709B5D630BD4', battery: 60, time: 1639096838, name: 'Colin Senethavilouk', room_no: 3, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '709B5D630BD4', sequence_id: 1, time: 1639096827992, value: 118, battery: 60, …} 11143
app_main.js:93 New device ping received. {device_id: 'FB849443BD1D', battery: 60, time: 1639096838, name: 'Samuel Larose', room_no: 166, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'FB849443BD1D', sequence_id: 1, time: 1639096827992, value: 102, battery: 60, …} 11255
app_main.js:93 New device ping received. {device_id: '2440633BE5D7', battery: 60, time: 1639096838, name: 'Sarah Furbee', room_no: 127, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '2440633BE5D7', sequence_id: 1, time: 1639096827992, value: 112, battery: 60, …} 11425
app_main.js:93 New device ping received. {device_id: '90926DC76F93', battery: 60, time: 1639096838, name: 'Christopher Dabney', room_no: 60, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '90926DC76F93', sequence_id: 1, time: 1639096827992, value: 117, battery: 60, …} 11542
app_main.js:93 New device ping received. {device_id: '8E099D222FC2', battery: 60, time: 1639096838, name: 'Christopher Dunning', room_no: 145, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '8E099D222FC2', sequence_id: 1, time: 1639096827992, value: 60, battery: 60, …} 11666
app_main.js:93 New device ping received. {device_id: '91B240A0EEE9', battery: 60, time: 1639096838, name: 'Robert Looney', room_no: 150, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '91B240A0EEE9', sequence_id: 1, time: 1639096827992, value: 86, battery: 60, …} 11813
app_main.js:93 New device ping received. {device_id: 'A41F46F79C3C', battery: 60, time: 1639096839, name: 'Shirley Laporte', room_no: 11, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'A41F46F79C3C', sequence_id: 1, time: 1639096827992, value: 113, battery: 60, …} 11933
app_main.js:93 New device ping received. {device_id: 'C0D743851958', battery: 60, time: 1639096839, name: 'Jennifer Nall', room_no: 170, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'C0D743851958', sequence_id: 1, time: 1639096827992, value: 101, battery: 60, …} 12060
app_main.js:93 New device ping received. {device_id: '8270A22175A1', battery: 60, time: 1639096839, name: 'Richard Lloyd', room_no: 94, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '8270A22175A1', sequence_id: 1, time: 1639096827992, value: 80, battery: 60, …} 12245
app_main.js:93 New device ping received. {device_id: '53AE7B22A841', battery: 60, time: 1639096839, name: 'Glenda Fields', room_no: 1, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '53AE7B22A841', sequence_id: 1, time: 1639096827992, value: 67, battery: 60, …} 12371
app_main.js:93 New device ping received. {device_id: 'AAA97F938C8D', battery: 60, time: 1639096839, name: 'Anne French', room_no: 114, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'AAA97F938C8D', sequence_id: 1, time: 1639096827992, value: 83, battery: 60, …} 12510
app_main.js:93 New device ping received. {device_id: 'EB2367EC60E2', battery: 60, time: 1639096839, name: 'Loreta Lauer', room_no: 25, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'EB2367EC60E2', sequence_id: 1, time: 1639096827992, value: 97, battery: 60, …} 12649
app_main.js:93 New device ping received. {device_id: 'D04D8E04DDCB', battery: 60, time: 1639096840, name: 'Marietta Kettner', room_no: 106, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'D04D8E04DDCB', sequence_id: 1, time: 1639096827992, value: 77, battery: 60, …} 12780
app_main.js:93 New device ping received. {device_id: 'A9173014F9BC', battery: 60, time: 1639096840, name: 'Dawn Foster', room_no: 81, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'A9173014F9BC', sequence_id: 1, time: 1639096827992, value: 60, battery: 60, …} 12908
app_main.js:93 New device ping received. {device_id: '72DD64C49F12', battery: 60, time: 1639096840, name: 'Kimberly Riecke', room_no: 183, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '72DD64C49F12', sequence_id: 1, time: 1639096827992, value: 63, battery: 60, …} 13038
app_main.js:93 New device ping received. {device_id: '7C07AE305241', battery: 60, time: 1639096840, name: 'Debbie Lopez', room_no: 24, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '7C07AE305241', sequence_id: 1, time: 1639096827992, value: 119, battery: 60, …} 13232
app_main.js:93 New device ping received. {device_id: 'B83B7793184A', battery: 60, time: 1639096840, name: 'Frances Verrastro', room_no: 13, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'B83B7793184A', sequence_id: 1, time: 1639096827992, value: 107, battery: 60, …} 13364
app_main.js:93 New device ping received. {device_id: '4582201C71C2', battery: 60, time: 1639096840, name: 'Olive Hunley', room_no: 185, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '4582201C71C2', sequence_id: 1, time: 1639096827992, value: 70, battery: 60, …} 13498
app_main.js:93 New device ping received. {device_id: 'D5284168EA9E', battery: 60, time: 1639096841, name: 'Clarice Brown', room_no: 161, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'D5284168EA9E', sequence_id: 1, time: 1639096827992, value: 107, battery: 60, …} 13634
app_main.js:93 New device ping received. {device_id: '50FCF024A7B5', battery: 60, time: 1639096841, name: 'Austin Rodrigues', room_no: 147, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '50FCF024A7B5', sequence_id: 1, time: 1639096827992, value: 78, battery: 60, …} 13772
app_main.js:93 New device ping received. {device_id: '6B87BCB0E86D', battery: 60, time: 1639096841, name: 'Maria Whiteside', room_no: 109, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '6B87BCB0E86D', sequence_id: 1, time: 1639096827992, value: 64, battery: 60, …} 13921
app_main.js:93 New device ping received. {device_id: '11BB3A0F73A1', battery: 60, time: 1639096841, name: 'Misty Egnew', room_no: 29, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '11BB3A0F73A1', sequence_id: 1, time: 1639096827992, value: 78, battery: 60, …} 14126
app_main.js:93 New device ping received. {device_id: '5A71DB13BA92', battery: 60, time: 1639096841, name: 'Jimmy Hobbins', room_no: 45, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '5A71DB13BA92', sequence_id: 1, time: 1639096827992, value: 109, battery: 60, …} 14270
app_main.js:93 New device ping received. {device_id: '5C78C60219E0', battery: 60, time: 1639096841, name: 'Chris Perze', room_no: 163, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '5C78C60219E0', sequence_id: 1, time: 1639096827992, value: 62, battery: 60, …} 14416
app_main.js:93 New device ping received. {device_id: '6A7AA8267DA6', battery: 60, time: 1639096841, name: 'George Williams', room_no: 1, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '6A7AA8267DA6', sequence_id: 1, time: 1639096827992, value: 102, battery: 60, …} 14562
app_main.js:93 New device ping received. {device_id: 'EA86FD253E0C', battery: 60, time: 1639096842, name: 'Dustin Franklin', room_no: 40, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'EA86FD253E0C', sequence_id: 1, time: 1639096827992, value: 86, battery: 60, …} 14738
app_main.js:93 New device ping received. {device_id: 'BCEE31D13F62', battery: 60, time: 1639096842, name: 'Candace Valenzula', room_no: 41, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'BCEE31D13F62', sequence_id: 1, time: 1639096827992, value: 108, battery: 60, …} 14885
app_main.js:93 New device ping received. {device_id: '8F0555339386', battery: 60, time: 1639096842, name: 'Evelyn Ciaburri', room_no: 28, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '8F0555339386', sequence_id: 1, time: 1639096827992, value: 108, battery: 60, …} 15101
app_main.js:93 New device ping received. {device_id: 'DE2492DFD4A8', battery: 60, time: 1639096842, name: 'Clarence Brown', room_no: 165, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'DE2492DFD4A8', sequence_id: 1, time: 1639096827992, value: 68, battery: 60, …} 15252
app_main.js:93 New device ping received. {device_id: 'E32F2EC96759', battery: 60, time: 1639096842, name: 'Ivan Denney', room_no: 126, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'E32F2EC96759', sequence_id: 1, time: 1639096827992, value: 70, battery: 60, …} 15402
app_main.js:93 New device ping received. {device_id: 'D156178A4369', battery: 60, time: 1639096842, name: 'Tracy Rios', room_no: 192, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'D156178A4369', sequence_id: 1, time: 1639096827992, value: 81, battery: 60, …} 15557
app_main.js:93 New device ping received. {device_id: 'CD8F94787C70', battery: 60, time: 1639096843, name: 'James Minton', room_no: 141, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'CD8F94787C70', sequence_id: 1, time: 1639096827992, value: 79, battery: 60, …} 15726
app_main.js:93 New device ping received. {device_id: '3967FFD1719E', battery: 60, time: 1639096843, name: 'Randy Freeman', room_no: 30, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '3967FFD1719E', sequence_id: 1, time: 1639096827992, value: 64, battery: 60, …} 15882
app_main.js:93 New device ping received. {device_id: 'D19478ABAD50', battery: 60, time: 1639096843, name: 'Marc Beasley', room_no: 129, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'D19478ABAD50', sequence_id: 1, time: 1639096827992, value: 116, battery: 60, …} 16116
app_main.js:93 New device ping received. {device_id: 'F34E55E16749', battery: 60, time: 1639096843, name: 'Joey Everett', room_no: 136, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'F34E55E16749', sequence_id: 1, time: 1639096827992, value: 83, battery: 60, …} 16276
app_main.js:93 New device ping received. {device_id: '6FC13A5B8BBA', battery: 60, time: 1639096843, name: 'Joaquina Hurst', room_no: 89, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '6FC13A5B8BBA', sequence_id: 1, time: 1639096827992, value: 74, battery: 60, …} 16448
app_main.js:93 New device ping received. {device_id: 'EB8CB7BD7A9A', battery: 60, time: 1639096843, name: 'Chris Helton', room_no: 110, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'EB8CB7BD7A9A', sequence_id: 1, time: 1639096827992, value: 103, battery: 60, …} 16611
app_main.js:93 New device ping received. {device_id: 'C8323E8E825D', battery: 60, time: 1639096844, name: 'Caroline Sullivan', room_no: 123, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'C8323E8E825D', sequence_id: 1, time: 1639096827992, value: 120, battery: 60, …} 16775
app_main.js:93 New device ping received. {device_id: 'E80756D859CA', battery: 60, time: 1639096844, name: 'Don Ferguson', room_no: 83, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'E80756D859CA', sequence_id: 1, time: 1639096827992, value: 116, battery: 60, …} 16944
app_main.js:93 New device ping received. {device_id: 'ED8D4A5988CA', battery: 60, time: 1639096844, name: 'Norman Strobeck', room_no: 129, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'ED8D4A5988CA', sequence_id: 1, time: 1639096827992, value: 69, battery: 60, …} 17189
app_main.js:93 New device ping received. {device_id: '6237EDB3FC17', battery: 60, time: 1639096844, name: 'Ralph Koerner', room_no: 177, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '6237EDB3FC17', sequence_id: 1, time: 1639096827992, value: 109, battery: 60, …} 17365
app_main.js:93 New device ping received. {device_id: '0C6AECB1F3ED', battery: 60, time: 1639096844, name: 'Alan Seldon', room_no: 179, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '0C6AECB1F3ED', sequence_id: 1, time: 1639096827992, value: 87, battery: 60, …} 17562
app_main.js:93 New device ping received. {device_id: '32EB5668CAC8', battery: 60, time: 1639096844, name: 'Tammy Rembert', room_no: 37, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '32EB5668CAC8', sequence_id: 1, time: 1639096827992, value: 116, battery: 60, …} 17757
app_main.js:93 New device ping received. {device_id: 'EFA29746CAF1', battery: 60, time: 1639096845, name: 'Derrick Moore', room_no: 175, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'EFA29746CAF1', sequence_id: 1, time: 1639096827992, value: 111, battery: 60, …} 17930
app_main.js:93 New device ping received. {device_id: 'EF30996C3CE1', battery: 60, time: 1639096845, name: 'Mark Clark', room_no: 35, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'EF30996C3CE1', sequence_id: 1, time: 1639096827992, value: 80, battery: 60, …} 18107
app_main.js:93 New device ping received. {device_id: '669D4121E64C', battery: 60, time: 1639096845, name: 'Don Martins', room_no: 133, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '669D4121E64C', sequence_id: 1, time: 1639096827992, value: 112, battery: 60, …} 18370
app_main.js:93 New device ping received. {device_id: 'FD393ADAF70B', battery: 60, time: 1639096845, name: 'Lisa Gilson', room_no: 143, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'FD393ADAF70B', sequence_id: 1, time: 1639096827992, value: 79, battery: 60, …} 18548
app_main.js:93 New device ping received. {device_id: '9FA6A56FDDC0', battery: 60, time: 1639096845, name: 'Edward Graham', room_no: 67, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '9FA6A56FDDC0', sequence_id: 1, time: 1639096827993, value: 68, battery: 60, …} 18723
app_main.js:93 New device ping received. {device_id: 'D6C035BD1727', battery: 60, time: 1639096845, name: 'Christopher Jordon', room_no: 183, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'D6C035BD1727', sequence_id: 1, time: 1639096827993, value: 102, battery: 60, …} 18904
app_main.js:93 New device ping received. {device_id: '0C5748E57A26', battery: 60, time: 1639096845, name: 'Janet Farley', room_no: 198, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '0C5748E57A26', sequence_id: 1, time: 1639096827993, value: 111, battery: 60, …} 19087
app_main.js:93 New device ping received. {device_id: 'E036C05E6726', battery: 60, time: 1639096846, name: 'Sandra Metcalf', room_no: 85, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'E036C05E6726', sequence_id: 1, time: 1639096827993, value: 74, battery: 60, …} 19270
app_main.js:93 New device ping received. {device_id: '5F4D859542AC', battery: 60, time: 1639096846, name: 'Candida Henriques', room_no: 97, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '5F4D859542AC', sequence_id: 1, time: 1639096827993, value: 67, battery: 60, …} 19567
app_main.js:93 New device ping received. {device_id: '9CFD3EDDE73B', battery: 60, time: 1639096846, name: 'Adam Mathis', room_no: 106, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '9CFD3EDDE73B', sequence_id: 1, time: 1639096827993, value: 105, battery: 60, …} 19754
app_main.js:93 New device ping received. {device_id: '89B37EE6BD4D', battery: 60, time: 1639096846, name: 'William Frank', room_no: 150, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '89B37EE6BD4D', sequence_id: 1, time: 1639096827993, value: 73, battery: 60, …} 19948
app_main.js:93 New device ping received. {device_id: '7663CE779BDB', battery: 60, time: 1639096846, name: 'Barbara Woods', room_no: 67, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '7663CE779BDB', sequence_id: 1, time: 1639096827993, value: 76, battery: 60, …} 20139
app_main.js:93 New device ping received. {device_id: '6CE921956130', battery: 60, time: 1639096847, name: 'Donna Blish', room_no: 87, …}
app_main.js:103 Data received
app_main.js:106 {device_id: '6CE921956130', sequence_id: 1, time: 1639096827993, value: 99, battery: 60, …} 20330
app_main.js:93 New device ping received. {device_id: 'EB77CF654390', battery: 60, time: 1639096847, name: 'Betty Green', room_no: 34, …}
app_main.js:103 Data received
app_main.js:106 {device_id: 'EB77CF654390', sequence_id: 1, time: 1639096827993, value: 95, battery: 60, …} 20525
